iter	Passed	Remaining
550	51780	42195
551	51870	42097
552	51965	42004
553	52056	41908
554	52139	41805
555	52221	41701
556	52306	41601
557	52388	41497
558	52469	41393
559	52554	41292
560	52634	41187
561	52715	41084
562	52811	40991
563	52898	40892
564	52985	40794
565	53067	40691
566	53160	40596
567	53249	40499
568	53331	40397
569	53415	40295
570	53508	40201
571	53600	40106
572	53691	40010
573	53770	39906
574	53861	39810
575	53953	39715
576	54037	39615
577	54132	39522
578	54224	39427
579	54312	39330
580	54406	39236
581	54499	39142
582	54582	39041
583	54674	38946
584	54764	38849
585	54848	38749
586	54944	38658
587	55034	38561
588	55124	38465
589	55209	38365
590	55298	38269
591	55385	38171
592	55479	38077
593	55572	37983
594	55665	37890
595	55751	37791
596	55840	37694
597	55930	37598
598	56019	37502
599	56099	37399
600	56183	37299
601	56260	37195
602	56345	37096
603	56429	36996
604	56507	36893
605	56588	36792
606	56674	36693
607	56766	36599
608	56868	36511
609	56952	36412
610	57044	36317
611	57124	36216
612	57208	36116
613	57294	36018
614	57377	35919
615	57458	35818
616	57545	35721
617	57637	35627
618	57732	35534
619	57827	35442
620	57911	35343
621	57999	35247
622	58094	35154
623	58193	35065
624	58293	34976
625	58398	34889
626	58517	34811
627	58621	34724
628	58729	34639
629	58828	34550
630	58941	34468
631	59044	34380
632	59152	34295
633	59266	34213
634	59367	34124
635	59466	34034
636	59578	33951
637	59680	33862
638	59785	33775
639	59880	33682
640	59964	33583
641	60048	33485
642	60130	33385
643	60217	33287
644	60316	33197
645	60398	33097
646	60496	33006
647	60590	32913
648	60697	32827
649	60796	32736
650	60908	32652
651	61021	32569
652	61130	32484
653	61214	32385
654	61301	32288
655	61415	32205
656	61504	32109
657	61594	32014
658	61682	31917
659	61783	31827
660	61871	31731
661	61962	31636
662	62043	31536
663	62135	31442
664	62228	31348
665	62319	31253
666	62399	31152
667	62482	31054
668	62568	30957
669	62655	30860
670	62737	30760
671	62830	30667
672	62907	30565
673	62995	30469
674	63082	30373
675	63163	30273
676	63246	30175
677	63326	30075
678	63413	29978
679	63501	29883
680	63593	29789
681	63681	29693
682	63762	29594
683	63852	29499
684	63936	29401
685	64013	29300
686	64095	29202
687	64175	29102
688	64261	29006
689	64350	28911
690	64432	28812
691	64523	28718
692	64619	28626
693	64715	28534
694	64802	28438
695	64889	28342
696	64982	28249
697	65071	28154
698	65169	28063
699	65259	27968
700	65340	27869
701	65429	27775
702	65512	27677
703	65601	27582
704	65687	27486
705	65763	27386
706	65856	27292
707	65949	27199
708	66039	27105
709	66113	27004
710	66192	26905
711	66281	26810
712	66378	26718
713	66457	26620
714	66534	26520
715	66616	26423
716	66709	26330
717	66802	26237
718	66885	26140
719	66964	26041
720	67047	25944
721	67133	25849
722	67220	25753
723	67316	25661
724	67404	25567
725	67490	25471
726	67583	25378
727	67671	25283
728	67757	25188
729	67844	25093
730	67930	24997
731	68018	24902
732	68107	24808
733	68189	24711
734	68275	24616
735	68363	24521
736	68452	24427
737	68540	24332
738	68623	24236
739	68709	24141
740	68793	24045
741	68887	23952
742	68978	23859
743	69075	23768
744	69161	23672
745	69243	23576
746	69326	23480
747	69408	23383
748	69496	23289
749	69589	23196
750	69691	23106
751	69774	23010
752	69854	22913
753	69938	22818
754	70032	22725
755	70118	22630
756	70206	22536
757	70295	22442
758	70380	22347
759	70483	22257
760	70573	22164
761	70661	22069
762	70742	21973
763	70829	21879
764	70909	21782
765	70997	21688
766	71080	21592
767	71162	21497
768	71240	21399
769	71326	21305
770	71408	21209
771	71489	21113
772	71582	21020
773	71663	20925
774	71753	20831
775	71849	20740
776	71935	20645
777	72017	20550
778	72110	20457
779	72211	20367
780	72303	20274
781	72393	20181
782	72478	20086
783	72563	19991
784	72653	19898
785	72741	19804
786	72825	19709
787	72908	19614
788	72994	19520
789	73076	19425
790	73173	19334
791	73252	19238
792	73334	19142
793	73419	19048
794	73506	18954
795	73587	18859
796	73671	18764
797	73766	18672
798	73866	18582
799	73961	18490
800	74057	18398
801	74140	18304
802	74235	18212
803	74322	18118
804	74404	18023
805	74501	17932
806	74602	17841
807	74702	17751
808	74789	17657
809	74874	17563
810	74964	17470
811	75062	17378
812	75149	17285
813	75231	17190
814	75310	17095
815	75392	17000
816	75485	16907
817	75575	16815
818	75657	16720
819	75741	16626
820	75836	16534
821	75918	16439
822	76003	16345
823	76084	16250
824	76171	16157
825	76266	16065
826	76343	15970
827	76419	15874
828	76507	15781
829	76592	15687
830	76678	15594
831	76768	15501
832	76847	15406
833	76936	15313
834	77019	15219
835	77105	15125
836	77208	15035
837	77303	14944
838	77389	14850
839	77482	14758
840	77561	14663
841	77645	14570
842	77736	14477
843	77823	14384
844	77918	14292
845	78023	14202
846	78112	14109
847	78222	14021
848	78325	13930
849	78407	13836
850	78496	13743
851	78584	13650
852	78662	13556
853	78739	13461
854	78831	13369
855	78910	13274
856	78993	13180
857	79071	13086
858	79164	12994
859	79251	12901
860	79333	12807
861	79415	12713
862	79498	12620
863	79594	12528
864	79678	12435
865	79769	12343
866	79855	12250
867	79945	12157
868	80042	12066
869	80142	11975
870	80228	11882
871	80318	11789
872	80404	11696
873	80484	11603
874	80570	11510
875	80652	11416
876	80732	11322
877	80815	11229
878	80896	11135
879	80985	11043
880	81067	10950
881	81158	10857
882	81251	10766
883	81344	10674
884	81446	10583
885	81540	10491
886	81621	10398
887	81699	10304
888	81784	10211
889	81864	10118
890	81948	10025
891	82039	9933
892	82126	9840
893	82221	9748
894	82319	9657
895	82411	9565
896	82500	9473
897	82581	9380
898	82672	9288
899	82769	9196
900	82853	9103
901	82941	9011
902	83022	8918
903	83096	8824
904	83191	8732
905	83301	8642
906	83392	8550
907	83481	8458
908	83558	8365
909	83642	8272
910	83724	8179
911	83806	8086
912	83891	7994
913	83993	7903
914	84080	7810
915	84165	7718
916	84248	7625
917	84334	7533
918	84417	7440
919	84508	7348
920	84607	7257
921	84692	7164
922	84776	7072
923	84856	6979
924	84937	6886
925	85011	6793
926	85088	6700
927	85166	6607
928	85247	6515
929	85338	6423
930	85417	6330
931	85500	6238
932	85583	6145
933	85668	6053
934	85757	5961
935	85853	5870
936	85938	5778
937	86034	5686
938	86129	5595
939	86221	5503
940	86309	5411
941	86391	5319
942	86481	5227
943	86563	5135
944	86656	5043
945	86749	4951
946	86835	4859
947	86923	4767
948	87007	4675
949	87109	4584
950	87213	4493
951	87310	4402
952	87401	4310
953	87493	4218
954	87592	4127
955	87701	4036
956	87797	3944
957	87889	3853
958	87977	3761
959	88073	3669
960	88163	3577
961	88253	3486
962	88341	3394
963	88430	3302
964	88512	3210
965	88597	3118
966	88679	3026
967	88791	2935
968	88889	2843
969	88993	2752
970	89075	2660
971	89199	2569
972	89342	2479
973	89473	2388
974	89602	2297
975	89692	2205
976	89777	2113
977	89851	2021
978	89933	1929
979	90021	1837
980	90111	1745
981	90207	1653
982	90304	1561
983	90394	1469
984	90487	1377
985	90580	1286
986	90669	1194
987	90758	1102
988	90846	1010
989	90931	918
990	91016	826
991	91107	734
992	91205	642
993	91296	551
994	91383	459
995	91472	367
996	91555	275
997	91637	183
998	91722	91
999	91804	0
