iter	Logloss
0	0.6156033452
1	0.5731359935
2	0.5400236823
3	0.5171804433
4	0.4992562444
5	0.4798226128
6	0.4666137467
7	0.4570217575
8	0.4497649602
9	0.4444235021
10	0.440857034
11	0.4379166241
12	0.435859797
13	0.4340464168
14	0.4326527799
15	0.4316914375
16	0.4306700479
17	0.4293507928
18	0.4288088706
19	0.4279802583
20	0.4273411346
21	0.4267002417
22	0.426169593
23	0.4257569408
24	0.4254493298
25	0.4250326202
26	0.4245804149
27	0.4241505807
28	0.4238801943
29	0.4235974451
30	0.423365343
31	0.4231139696
32	0.42294853
33	0.4228035249
34	0.4225652988
35	0.4223775751
36	0.4222076755
37	0.4220821365
38	0.4219059835
39	0.4218104447
40	0.4216140009
41	0.4215090494
42	0.4213770507
43	0.4212521462
44	0.4211493931
45	0.4210666283
46	0.4209690392
47	0.4208931493
48	0.4206865927
49	0.4206204133
50	0.4204954206
51	0.4204072823
52	0.4202719638
53	0.4200957062
54	0.419969472
55	0.4198847906
56	0.4197927207
57	0.4197127912
58	0.4196575775
59	0.4195692089
60	0.4194808576
61	0.4193957427
62	0.4193190389
63	0.4192570226
64	0.4191532533
65	0.4190333684
66	0.4188827556
67	0.4187994867
68	0.4187274162
69	0.4186027286
70	0.4185417349
71	0.4185037531
72	0.4184534112
73	0.4184000224
74	0.4183447877
75	0.4182694588
76	0.4181699479
77	0.418037044
78	0.417945481
79	0.4178631708
80	0.4178310072
81	0.4177677002
82	0.4176915662
83	0.4176089257
84	0.4175343212
85	0.417482845
86	0.417441928
87	0.4173694898
88	0.417267596
89	0.4172127387
90	0.4171499912
91	0.417060623
92	0.4170180971
93	0.4169683902
94	0.4169443543
95	0.4169064552
96	0.4168358079
97	0.4167780909
98	0.4166793231
99	0.4166349584
100	0.4166071581
101	0.4165532744
102	0.4164828796
103	0.4164481232
104	0.4164117442
105	0.416356625
106	0.4162496514
107	0.4161772408
108	0.4160993242
109	0.4160387631
110	0.4159820211
111	0.4159246248
112	0.4158779297
113	0.4158255334
114	0.4157627812
115	0.4157148946
116	0.4156316522
117	0.4155806155
118	0.4155347907
119	0.415492225
120	0.4154301138
121	0.4153565876
122	0.4152692223
123	0.4151712317
124	0.4151031182
125	0.415049753
126	0.4149722651
127	0.4149287088
128	0.4148829632
129	0.4148272642
130	0.41471559
131	0.4146255739
132	0.4145693203
133	0.4144866703
134	0.4144248653
135	0.414370663
136	0.4142853713
137	0.4142482026
138	0.4141858084
139	0.4140930095
140	0.4140150777
141	0.4139345101
142	0.4138939279
143	0.4138233697
144	0.4137455676
145	0.4136674337
146	0.4136022998
147	0.4135315127
148	0.4134715754
149	0.4133950719
150	0.4133201992
151	0.413241014
152	0.4131704515
153	0.4131068111
154	0.4130456953
155	0.4129714644
156	0.4128858968
157	0.4128073954
158	0.4127368041
159	0.41267901
160	0.4126004728
161	0.4125401437
162	0.4124334449
163	0.4123459974
164	0.4122520961
165	0.4121743764
166	0.4120938511
167	0.4120025047
168	0.411941507
169	0.4118788766
170	0.4118159975
171	0.4117628807
172	0.4117098279
173	0.4116444967
174	0.4115872681
175	0.4115396354
176	0.4114689195
177	0.4113852923
178	0.4113353234
179	0.4112416109
180	0.4111596613
181	0.4110731255
182	0.4109950522
183	0.410929271
184	0.410865304
185	0.410809157
186	0.410736842
187	0.410649262
188	0.4105411421
189	0.4104703414
190	0.4103886808
191	0.4103678193
192	0.4102968969
193	0.4102417038
194	0.410177841
195	0.4101110248
196	0.410051835
197	0.4099912162
198	0.4099216307
199	0.4098723436
200	0.4098199102
201	0.4097496361
202	0.4096736058
203	0.4095895339
204	0.4095306681
205	0.4094777518
206	0.4093954706
207	0.4093389492
208	0.4092715131
209	0.4092012895
210	0.4091381419
211	0.4090425186
212	0.4089931053
213	0.4089371263
214	0.4088941389
215	0.4088429265
216	0.4088080103
217	0.4087735827
218	0.4086952942
219	0.4086408011
220	0.4085593048
221	0.4085058277
222	0.4084594004
223	0.4083923783
224	0.4083229353
225	0.4082626166
226	0.4082154743
227	0.4081606544
228	0.4080968575
229	0.4080458834
230	0.407974213
231	0.4079226797
232	0.4078592867
233	0.4078038894
234	0.4077122718
235	0.4076694811
236	0.407603993
237	0.4075303911
238	0.4074754155
239	0.4074005447
240	0.4073448488
241	0.4072931142
242	0.407236433
243	0.4071795845
244	0.4071147515
245	0.4070535319
246	0.4069835056
247	0.4069258766
248	0.4068550552
249	0.4067986729
250	0.4067493778
251	0.4066858176
252	0.4066057266
253	0.4065378706
254	0.4064945899
255	0.4064136852
256	0.4063450056
257	0.4063219088
258	0.4062877032
259	0.4062146412
260	0.4061396774
261	0.4060878552
262	0.4060293763
263	0.4059884757
264	0.4059743043
265	0.4059213829
266	0.405873139
267	0.405806994
268	0.4057603086
269	0.4057091429
270	0.4056633847
271	0.4056034944
272	0.4055535993
273	0.4055034253
274	0.405450376
275	0.4053945287
276	0.405341141
277	0.4052656643
278	0.4052112713
279	0.4051515607
280	0.4051001023
281	0.405047388
282	0.4049905774
283	0.4049192201
284	0.4048564581
285	0.4048010217
286	0.4047468056
287	0.4047008627
288	0.4046485238
289	0.4045866524
290	0.4045374094
291	0.4044673339
292	0.4044222972
293	0.404372483
294	0.4042870212
295	0.4041717864
296	0.4041122773
297	0.4040566483
298	0.4040143975
299	0.4039516094
300	0.4038826815
301	0.4038254977
302	0.4037810822
303	0.4037695944
304	0.4036925516
305	0.4036347898
306	0.4035855742
307	0.4035340729
308	0.4034858474
309	0.4034442291
310	0.403391309
311	0.403339079
312	0.4032802155
313	0.4031975856
314	0.4031156005
315	0.4030700802
316	0.4030206849
317	0.4029567683
318	0.4029124863
319	0.402873757
320	0.4028170905
321	0.4027624958
322	0.4027192031
323	0.4026710251
324	0.4026126507
325	0.4025502165
326	0.4024973418
327	0.4024520939
328	0.4023714547
329	0.4023156242
330	0.4022633866
331	0.4022000454
332	0.4021488803
333	0.4020774795
334	0.4020223672
335	0.4019750528
336	0.4019139618
337	0.4018571532
338	0.4018034026
339	0.4017386305
340	0.4016897338
341	0.4016096136
342	0.4015615298
343	0.4015563771
344	0.4014880191
345	0.4014515387
346	0.401408119
347	0.4013531211
348	0.4012896945
349	0.4012219993
350	0.4011693832
351	0.4011251664
352	0.4010834509
353	0.4010190597
354	0.40098432
355	0.4009186167
356	0.4008584187
357	0.4008013524
358	0.400757558
359	0.4007096536
360	0.4006679609
361	0.4006286634
362	0.4005779115
363	0.4005172913
364	0.4004748793
365	0.4004154706
366	0.4003551194
367	0.4003240953
368	0.4002790098
369	0.4002212226
370	0.4001654601
371	0.4001006131
372	0.4000571201
373	0.4000059596
374	0.3999521123
375	0.3998938077
376	0.3998555099
377	0.3998001612
378	0.3997403898
379	0.3996977886
380	0.3996388767
381	0.3995741566
382	0.3995168886
383	0.3994629031
384	0.3994316883
385	0.3993901496
386	0.3993544868
387	0.3993291344
388	0.3992849043
389	0.3992291884
390	0.3991688164
391	0.3991229935
392	0.3990777797
393	0.399038173
394	0.398991753
395	0.3989356226
396	0.3988807746
397	0.3988227395
398	0.3987624527
399	0.3987220869
400	0.3986360726
401	0.3985874438
402	0.3985303157
403	0.3984849508
404	0.3984443788
405	0.3983748026
406	0.3983037924
407	0.3982477507
408	0.3982027217
409	0.3981533893
410	0.3981006247
411	0.3980530298
412	0.3980118208
413	0.3979536573
414	0.3979097274
415	0.3978631122
416	0.3978273087
417	0.3977684246
418	0.3977372708
419	0.3976891584
420	0.3976378496
421	0.3975930161
422	0.3975433203
423	0.3974920363
424	0.3974546529
425	0.3974029813
426	0.3973587243
427	0.3973138266
428	0.3972663686
429	0.3972155197
430	0.397170764
431	0.3971104603
432	0.3970743467
433	0.3970210824
434	0.3969687703
435	0.3969240421
436	0.3968777316
437	0.3968090142
438	0.3967606141
439	0.3966908562
440	0.3966235219
441	0.3965748564
442	0.3965316135
443	0.3964741932
444	0.3964455179
445	0.3964036935
446	0.3963628085
447	0.3963064437
448	0.396257968
449	0.3961976775
450	0.3961429119
451	0.3960734406
452	0.3960238394
453	0.3959689947
454	0.3958978444
455	0.3958437494
456	0.3958106764
457	0.3957716243
458	0.3957302997
459	0.3956866236
460	0.3956288733
461	0.3955577337
462	0.3955087376
463	0.3954699971
464	0.3954302493
465	0.3953882265
466	0.3953391437
467	0.3953000541
468	0.395247827
469	0.3952074282
470	0.3951556326
471	0.3950998468
472	0.3950512863
473	0.395005244
474	0.3949602449
475	0.3949046878
476	0.3948595958
477	0.3947951303
478	0.3947485757
479	0.3947092946
480	0.3946687126
481	0.3945981654
482	0.3945624035
483	0.3944974915
484	0.3944495016
485	0.3944075792
486	0.3943864255
487	0.394335514
488	0.3942814857
489	0.3942458108
490	0.3942103046
491	0.3941596225
492	0.3941154146
493	0.394084633
494	0.3940294103
495	0.3939611442
496	0.3939280512
497	0.3938793555
498	0.3938368801
499	0.3937666591
500	0.3937158628
501	0.393669576
502	0.3936248696
503	0.393567507
504	0.3935368185
505	0.3934873559
506	0.393438819
507	0.3933844593
508	0.3933254561
509	0.3932866194
510	0.3932363386
511	0.3932085871
512	0.3931629639
513	0.3931068599
514	0.3930512112
515	0.3930107447
516	0.3929526809
517	0.3928958137
518	0.3928302746
519	0.3928011316
520	0.392754406
521	0.3927112676
522	0.3926688994
523	0.3926191118
524	0.3925806234
525	0.3925555876
526	0.39251822
527	0.3924911494
528	0.3924269716
529	0.3923803087
530	0.3923571038
531	0.3923070613
532	0.3922702235
533	0.3922418755
534	0.3922038488
535	0.3921525939
536	0.3920991858
537	0.3920649073
538	0.3920240632
539	0.3919774043
540	0.3919195789
541	0.3918749221
542	0.3918135691
543	0.3917799909
544	0.3917425731
545	0.3916858347
546	0.391622816
547	0.3915900642
548	0.3915334464
549	0.391484937
550	0.3914383999
551	0.391403082
552	0.3913544323
553	0.3912976327
554	0.3912459406
555	0.391215704
556	0.391185671
557	0.3911300733
558	0.39109032
559	0.3910485893
560	0.3910059834
561	0.3909818756
562	0.3909130836
563	0.3908678244
564	0.390823378
565	0.3907888052
566	0.3907512462
567	0.390695903
568	0.3906663699
569	0.3906231542
570	0.3905708921
571	0.3905435274
572	0.3905027977
573	0.3904612428
574	0.3904042861
575	0.3903562033
576	0.3903057791
577	0.3902506912
578	0.3901897729
579	0.3901620966
580	0.3901157255
581	0.3900903966
582	0.390050609
583	0.390011159
584	0.3899708573
585	0.389943097
586	0.3899033442
587	0.389860961
588	0.3898240223
589	0.3897723487
590	0.3896966398
591	0.3896554113
592	0.3896072175
593	0.3895617093
594	0.3895227501
595	0.3894776377
596	0.3894330773
597	0.3893990912
598	0.389348778
599	0.3893002814
600	0.3892500426
601	0.3892201582
602	0.3891665884
603	0.3891145978
604	0.3890881186
605	0.3890531184
606	0.3890050201
607	0.3889569916
608	0.3889219121
609	0.3888877163
610	0.3888382812
611	0.3887958768
612	0.3887509995
613	0.3887093391
614	0.3886531176
615	0.3886108
616	0.388547033
617	0.3885163416
618	0.3884795211
619	0.3884424061
620	0.3883648363
621	0.388298659
622	0.388297735
623	0.3882531086
624	0.3882199824
625	0.3881744616
626	0.3881333386
627	0.3880811558
628	0.3880447969
629	0.3880071813
630	0.387977619
631	0.387934235
632	0.3878861828
633	0.3878329455
634	0.3877863439
635	0.3877425494
636	0.3876950702
637	0.3876544288
638	0.3876151951
639	0.3875728308
640	0.3875294193
641	0.3874783687
642	0.3874231958
643	0.3873890618
644	0.387341252
645	0.3872973478
646	0.3872354017
647	0.387231231
648	0.3871878425
649	0.3871444983
650	0.3871040505
651	0.3870525253
652	0.3870116384
653	0.3869826378
654	0.3869591792
655	0.3869006575
656	0.3868536394
657	0.3868113302
658	0.386772129
659	0.3867301031
660	0.386694465
661	0.3866454941
662	0.386608011
663	0.3865668182
664	0.3865146758
665	0.3864709077
666	0.3864311453
667	0.3863829163
668	0.386326784
669	0.386272033
670	0.3862394212
671	0.3861874472
672	0.3861427916
673	0.386109168
674	0.3860664861
675	0.3860276714
676	0.385986082
677	0.3859486672
678	0.3859077614
679	0.3858697909
680	0.3858375295
681	0.385803524
682	0.3857547592
683	0.3857044432
684	0.3856597446
685	0.385618451
686	0.3855864498
687	0.38553328
688	0.3854965326
689	0.3854619939
690	0.3854185987
691	0.3853838172
692	0.3853387605
693	0.3852687541
694	0.3852131873
695	0.3851887513
696	0.3851483802
697	0.3851054208
698	0.3850496137
699	0.3850188449
700	0.3849806285
701	0.3849385935
702	0.384909395
703	0.3848506264
704	0.3848038516
705	0.3847724119
706	0.3847054041
707	0.3846818496
708	0.3846193191
709	0.3846145251
710	0.384548725
711	0.3845062446
712	0.3844575674
713	0.3844122376
714	0.3843769065
715	0.3843246668
716	0.3842992594
717	0.3842674973
718	0.3842188337
719	0.3841829241
720	0.3841341804
721	0.384078242
722	0.3840402698
723	0.3839889876
724	0.3839633778
725	0.3839036036
726	0.3838581719
727	0.3838288152
728	0.3837900869
729	0.3837574225
730	0.3836959473
731	0.3836268088
732	0.3835747763
733	0.383519418
734	0.383483489
735	0.3834331063
736	0.3833946509
737	0.3833431163
738	0.3833036097
739	0.3832702718
740	0.3832299658
741	0.3831781424
742	0.3831337238
743	0.3831033184
744	0.3830744251
745	0.3830340376
746	0.3829881419
747	0.3829476751
748	0.3828726757
749	0.3828416073
750	0.3827849536
751	0.3827518462
752	0.3827069351
753	0.3826579723
754	0.3826152085
755	0.3825794156
756	0.3825496993
757	0.3825158525
758	0.3824664691
759	0.3824009115
760	0.3823569324
761	0.382281221
762	0.382252453
763	0.3822151197
764	0.3821726806
765	0.3821152463
766	0.3820622476
767	0.3820132891
768	0.3819830036
769	0.3819486352
770	0.381903254
771	0.3818496916
772	0.3818166481
773	0.381784817
774	0.3817514298
775	0.3817212668
776	0.3816874214
777	0.3816434588
778	0.3816061237
779	0.381563675
780	0.3815267321
781	0.3814802327
782	0.3814300048
783	0.3813813699
784	0.3813274653
785	0.3812885589
786	0.3812362949
787	0.3811914289
788	0.3811455503
789	0.3811101163
790	0.3810660463
791	0.3810383381
792	0.381010834
793	0.3809719395
794	0.380942781
795	0.3809114194
796	0.3808642161
797	0.380829781
798	0.3807912089
799	0.380752417
800	0.3807131385
801	0.3806727963
802	0.3806303918
803	0.3805966661
804	0.3805301351
805	0.3804922003
806	0.3804497867
807	0.3804075219
808	0.3803770193
809	0.3803311606
810	0.3802964716
811	0.3802629183
812	0.3802247653
813	0.3801809378
814	0.3801435624
815	0.3800981357
816	0.380061051
817	0.3800109956
818	0.3799825611
819	0.3799549213
820	0.3799308495
821	0.3799040016
822	0.3798692007
823	0.3798376055
824	0.379801775
825	0.379767354
826	0.3797300052
827	0.3797037948
828	0.3796558656
829	0.3796177834
830	0.3796095495
831	0.3795693125
832	0.3795425623
833	0.379512017
834	0.3794730446
835	0.3794407015
836	0.3794020249
837	0.3793617028
838	0.3793213162
839	0.3792736782
840	0.3792402359
841	0.3792011694
842	0.3791640003
843	0.3791308349
844	0.3790964201
845	0.3790591994
846	0.3790281974
847	0.3789727264
848	0.3789330864
849	0.3789044105
850	0.3788640738
851	0.3788120799
852	0.3787843769
853	0.3787576105
854	0.3787157396
855	0.378685412
856	0.3786301343
857	0.3786086788
858	0.3785746942
859	0.3785388285
860	0.3784894443
861	0.3784525532
862	0.3784256115
863	0.3783829256
864	0.3783447305
865	0.3783062882
866	0.3782693945
867	0.3782369333
868	0.3781903893
869	0.378131564
870	0.3780839903
871	0.3780500916
872	0.3780109084
873	0.3779883648
874	0.3779442096
875	0.3779069725
876	0.3778959773
877	0.3778576954
878	0.3778136292
879	0.3777753873
880	0.3777594529
881	0.3777333575
882	0.3776959336
883	0.3776525158
884	0.3776122581
885	0.3775873841
886	0.3775608348
887	0.3775345975
888	0.3775015394
889	0.3774746888
890	0.3774403389
891	0.3773912843
892	0.3773534623
893	0.3773138319
894	0.3772715978
895	0.3772100341
896	0.3771482961
897	0.3771040353
